Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-08,290.75506591796875,299.99920654296875,286.0534973144531,298.68072509765625,9782511003,0,0
2020-10-10,308.8962707519531,319.72955322265625,308.81475830078125,313.5596008300781,11510996638,0,0
2020-10-11,313.5265197753906,318.8670959472656,312.5964050292969,317.4935913085937,10650637908,0,0
2020-10-14,325.29949951171875,329.193603515625,318.5127258300781,323.1109313964844,11851174071,0,0
2020-10-15,322.8624572753906,324.6046142578125,317.30426025390625,322.41534423828125,12782584301,0,0
2020-10-16,322.7798156738281,324.5003662109375,309.6429748535156,312.57647705078125,12521514842,0,0
2020-10-17,312.3944091796875,315.6366577148437,311.13037109375,314.8580017089844,9347948729,0,0
2020-10-18,314.7484130859375,323.24932861328125,314.23760986328125,322.79443359375,9428382138,0,0
2020-10-19,323.0128479003906,325.24810791015625,319.08642578125,322.8426818847656,10886096743,0,0
2020-10-20,322.6592102050781,323.36395263671875,310.84344482421875,312.06170654296875,11616889948,0,0
2020-10-21,311.9962158203125,337.8036804199219,311.6905212402344,330.9122314453125,17078718604,0,0
2020-10-22,330.3204650878906,355.3747253417969,330.21295166015625,350.1802062988281,13348717708,0,0
2020-10-23,350.415771484375,353.5883483886719,340.40802001953125,345.4304504394531,12017895396,0,0
2020-10-24,345.430908203125,351.1905822753906,343.816162109375,347.6988830566406,10285980728,0,0
2020-10-25,347.6988830566406,351.66229248046875,342.1674499511719,342.86199951171875,9191716261,0,0
2020-10-26,342.8622131347656,347.4615783691406,324.8265686035156,333.5489501953125,12834000118,0,0
2020-10-27,333.5488586425781,346.4076232910156,330.616455078125,342.8957214355469,11832054967,0,0
2020-10-28,342.895751953125,347.0687561035156,324.410400390625,330.7946472167969,13002329001,0,0
2020-10-29,330.794921875,337.2104187011719,325.8196105957031,331.158935546875,11063869699,0,0
2020-10-30,331.1590576171875,335.316162109375,321.31689453125,327.88531494140625,11723820795,0,0
2020-10-31,327.8853759765625,336.5534362792969,326.5214538574219,331.05584716796875,9657005076,0,0
2020-11-01,331.0558776855469,340.8122253417969,329.8357238769531,340.4665222167969,8998014253,0,0
2020-11-02,340.4646301269531,346.4676818847656,327.1470947265625,329.158447265625,12024896113,0,0
2020-11-03,329.1578674316406,331.29180908203125,318.67694091796875,329.5444030761719,10702901897,0,0
2020-11-04,329.5452880859375,347.9361267089844,324.0000305175781,342.7299499511719,12891366086,0,0
2020-11-05,342.7307434082031,353.1229858398437,337.65338134765625,350.3966064453125,13066408342,0,0
2020-11-06,350.3960876464844,384.1980285644531,349.235595703125,382.9505004882813,14096482098,0,0
2020-11-07,382.9532470703125,392.1690673828125,360.824951171875,366.9362487792969,15894159868,0,0
2020-11-08,366.9410400390625,385.520263671875,364.7808837890625,381.3747253417969,9495279798,0,0
2020-11-09,381.3909912109375,384.4888000488281,368.5298461914063,375.64556884765625,11590264721,0,0
2020-11-10,375.6484069824219,383.3536682128906,372.0793151855469,380.4905700683594,10230119272,0,0
2020-11-11,380.4906005859375,402.1560668945313,380.2702331542969,393.0187683105469,11948961926,0,0
2020-11-12,393.0179138183594,395.83831787109375,383.0233154296875,390.5567626953125,10909478472,0,0
2020-11-13,390.5569458007813,401.5082092285156,387.1340637207031,401.0090026855469,11145424038,0,0
2020-11-14,401.0090026855469,401.4610290527344,382.7252197265625,388.77783203125,8712578985,0,0
2020-11-15,388.7778930664063,389.4911193847656,371.8551025390625,377.8302917480469,8702555228,0,0
2020-11-16,377.8302001953125,391.418212890625,376.2337036132813,387.8244323730469,9647321747,0,0
2020-11-17,391.5904846191406,406.4518432617188,388.5623168945313,404.9060668945313,12300809531,0,0
2020-11-18,404.8948974609375,414.3824768066406,392.29534912109375,404.7847595214844,15094625107,0,0
2020-11-19,404.7821960449219,405.33892822265625,393.66119384765625,397.4778442382813,10512703223,0,0
2020-11-20,397.4787292480469,433.3099365234375,397.4787292480469,429.9175415039063,15712456916,0,0
2020-11-21,429.9175720214844,464.0667419433594,425.2786560058594,463.4419555664063,17506724266,0,0
2020-11-22,463.4419555664063,488.602783203125,433.9484252929688,470.3219299316406,18513126458,0,0
2020-11-23,470.314697265625,515.2089233398438,464.305908203125,513.788330078125,23029168902,0,0
2020-11-24,513.8463745117188,523.1864013671875,500.5994873046875,507.5730285644531,19568201274,0,0
2020-11-25,507.57666015625,508.5846862792969,469.6202697753906,478.9025268554688,16857640492,0,0
2020-11-26,478.7584228515625,482.7565612792969,407.4900207519531,435.568359375,26113895824,0,0
2020-11-27,435.8260192871094,445.4966430664063,416.2398071289063,432.5786743164063,14069306399,0,0
2020-11-28,432.6653442382813,458.0876770019531,424.72064208984375,449.8836975097656,12345826470,0,0
2020-11-29,449.9127502441406,481.8429870605469,444.6660461425781,480.9606323242188,12544913494,0,0
2020-11-30,480.9598388671875,515.3629760742188,476.9837036132813,515.0480346679688,16985749692,0,0
2020-12-01,515.2388916015625,530.9688110351562,477.6438293457031,486.5464172363281,22515380310,0,0
2020-12-02,486.4945373535156,500.8928833007813,479.5708618164063,493.9255065917969,13936752454,0,0
2020-12-03,494.0137023925781,512.09619140625,485.48046875,507.7800903320313,13294305386,0,0
2020-12-04,507.7916564941406,509.4132080078125,469.686767578125,469.7451171875,13479312289,0,0
2020-12-05,469.7397155761719,492.11669921875,464.4925842285156,492.11669921875,11134171466,0,0
2020-12-06,492.0946044921875,500.5274963378906,482.0666198730469,496.62005615234375,9315833555,0,0
2020-12-07,496.5277404785156,497.4157409667969,482.9780578613281,488.7028198242188,8852222744,0,0
2020-12-08,488.7502746582031,490.7800598144531,456.2771606445313,458.170654296875,11890469186,0,0
2020-12-09,458.1419067382813,477.7748718261719,439.4273681640625,474.79541015625,13127445698,0,0
2020-12-10,474.8160400390625,475.5413818359375,453.0154724121094,460.8868408203125,9612196221,0,0
2020-12-11,460.887451171875,461.3637390136719,443.7940979003906,450.6402893066406,9163795504,0,0
2020-12-12,450.4596557617188,473.3805847167969,450.1847534179688,469.4404602050781,7046600401,0,0
2020-12-13,469.4755859375,490.2584533691406,466.1367492675781,485.9904174804688,7475651237,0,0
2020-12-14,486.0886840820313,486.7102661132813,474.5061950683594,482.3651123046875,6688644671,0,0
2020-12-15,482.3738708496094,490.27484130859375,477.9039306640625,484.8870239257813,7673413925,0,0
2020-12-16,484.906005859375,522.1074829101562,478.5909729003906,521.6334838867188,12969257900,0,0
2020-12-17,521.6107788085938,550.4013061523438,512.448974609375,524.2911376953125,20779806963,0,0
2020-12-18,524.330322265625,541.066650390625,515.9266967773438,534.2440185546875,12855158756,0,0
2020-12-19,534.0908813476562,545.6002807617188,527.5269775390625,537.873046875,10467789578,0,0
2020-12-20,537.7809448242188,538.383544921875,511.1524658203125,522.6797485351562,10953140249,0,0
2020-12-21,522.69970703125,530.7848510742188,493.4978942871094,498.4206237792969,11785441462,0,0
2020-12-22,498.0958862304688,521.16357421875,482.973388671875,520.918212890625,12099474679,0,0
2020-12-23,520.8938598632812,523.8047485351562,459.7239379882813,478.6862487792969,12515411729,0,0
2020-12-24,479.0315246582031,503.80169677734375,466.0670776367188,501.9839477539063,11751189105,0,0
2020-12-25,501.9407653808594,520.1175537109375,496.21917724609375,513.7820434570312,11089864899,0,0
2020-12-26,513.8536987304688,533.7216796875,506.3931884765625,521.5125732421875,12107074891,0,0
2020-12-27,521.5546264648438,579.1455078125,511.5274963378906,559.3591918945312,21381135462,0,0
2020-12-28,559.8209228515625,611.12451171875,559.8209228515625,597.633056640625,19819630066,0,0
2020-12-29,597.6013793945312,603.5775756835938,565.461181640625,596.9884643554688,15269657584,0,0
2020-12-30,596.9498901367188,613.4913940429688,587.4256591796875,611.1421508789062,14062235584,0,0
2020-12-31,611.1483764648438,613.3464965820312,592.0440063476562,603.9894409179688,11400962499,0,0
2021-01-01,603.9116821289062,615.5442504882812,591.5209350585938,600.8594970703125,11231244598,0,0
2021-01-02,600.888427734375,648.3715209960938,589.7833251953125,638.265625,16267639120,0,0
2021-01-03,638.24658203125,821.8814697265625,635.8154296875,796.329345703125,36898177858,0,0
2021-01-04,797.5955810546875,941.3172607421876,742.0974731445312,848.9903564453125,46476694064,0,0
2021-01-05,850.0234375,921.5185546875,804.1071166992188,894.4226684570312,33773157696,0,0
2021-01-06,895.23486328125,980.1995239257812,866.3721313476562,978.3222045898438,36227715953,0,0
2021-01-07,979.105224609375,1045.3421630859375,948.6900024414062,998.9913940429688,32983546570,0,0
2021-01-08,999.2276000976562,1039.955322265625,877.7317504882812,1001.3883666992188,36265710874,0,0
2021-01-09,1001.0147705078124,1066.5618896484375,967.0924682617188,1047.9161376953125,27184547253,0,0
2021-01-10,1047.7474365234375,1102.59814453125,977.4613647460938,1035.7137451171875,33327497414,0,0
2021-01-11,1035.2020263671875,1035.2020263671875,760.5425415039062,896.449462890625,49942539602,0,0
2021-01-12,895.1183471679688,945.1351928710938,833.1585083007812,854.6751708984375,30711753256,0,0
2021-01-13,854.9261474609375,933.0762329101562,814.669921875,929.7368774414062,24757415808,0,0
2021-01-14,929.3189697265624,1024.2808837890625,900.0338745117188,1002.7770385742188,27496916522,0,0
2021-01-15,1005.5950927734376,1028.7110595703125,901.772216796875,970.1021118164062,29779416770,0,0
